id,city,state,zipcode,property_type,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,review_scores_rating,cancellation_policy
19066512,Asheville,NC,28806,House,2,4,6,Real Bed,$150.00 ,1,$0.00 ,100,strict_14_with_grace_period
19077911,Asheville,NC,28806,Bungalow,1,2,3,Real Bed,$50.00 ,1,$0.00 ,100,moderate
19085821,Arden,NC,28704,House,1.5,3,3,Real Bed,$100.00 ,6,$25.00 ,100,moderate
19101996,Asheville,NC,28806,House,1,1,2,Real Bed,$35.00 ,2,$10.00 ,98,flexible
19110626,Asheville,NC,28803,House,2,3,4,Real Bed,,1,$0.00 ,99,flexible
19118629,Asheville,NC,28805,Guesthouse,1,0,3,Real Bed,$75.00 ,1,$0.00 ,98,moderate
19120555,Asheville,NC,28806,House,3.5,4,5,Real Bed,$200.00 ,1,$0.00 ,99,strict_14_with_grace_period
19121317,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$30.00 ,2,$20.00 ,95,moderate
19128809,Asheville,NC,28806,House,1,1,1,Real Bed,$15.00 ,1,$19.00 ,93,moderate
19129020,Asheville,NC,28805,Cabin,1,1,1,Real Bed,$100.00 ,2,$50.00 ,100,moderate
19135906,Asheville,NC,28806,Cabin,1,2,3,Real Bed,$0.00 ,1,$0.00 ,,strict_14_with_grace_period
19137905,Asheville,NC,28806,House,1,1,2,Real Bed,$25.00 ,2,$35.00 ,98,moderate
19227583,Asheville,NC,28806,Bungalow,1,1,1,Real Bed,$50.00 ,1,$0.00 ,99,moderate
19229221,Asheville,NC,28801,Apartment,1,1,0,Real Bed,$0.00 ,2,$25.00 ,99,super_strict_60
19262092,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$95.00 ,2,$20.00 ,99,strict_14_with_grace_period
19264539,Asheville,NC,28806,Apartment,1,1,1,Real Bed,$65.00 ,2,$0.00 ,95,moderate
19270494,Asheville,NC,28806,Apartment,1,1,1,Real Bed,$50.00 ,2,$100.00 ,99,moderate
19271563,Arden,NC,28704,House,2,3,4,Real Bed,$0.00 ,1,$0.00 ,99,strict_14_with_grace_period
19307742,Asheville,NC,28801,House,1,2,3,Real Bed,$0.00 ,1,$0.00 ,100,moderate
19326768,Asheville,NC,28801,Guest suite,1,1,1,Real Bed,$60.00 ,1,$0.00 ,99,strict_14_with_grace_period
19340532,Asheville,NC,28806,Cottage,1,1,1,Real Bed,$85.00 ,1,$0.00 ,100,moderate
